company_code,company_name,month_create
0313145074-002,CHI NHÁNH LÊ TRỌNG TẤN - CÔNG TY CỔ PHẦN ĐÀO TẠO NGOẠI NGỮ NEWSKY,April
0313850559-020,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN IN THÀNH NGHĨA THÀNH PHỐ HỒ CHÍ MINH - NHÀ SÁCH NGUYỄN VĂN CỪ 219 BIS,April
0314035797-001,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN QUẢNG CÁO THƯƠNG MẠI DỊCH VỤ PHÚC ANH,April
0314296478-001,CHI NHÁNH CÔNG TY TNHH SX TM DV THANH TRƯỜNG PHÁT,April
0315423778-007,CHI NHÁNH CÔNG TY TNHH PHÒNG KHÁM HAPPY BABY - NHÀ THUỐC HAPPY BABY,April
0315629183-001,CHI NHÁNH CÔNG TY TNHH PETROCHEMICALS TRADING VIETNAM,April
0315874996-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN I-FUTURE,April
0316143117-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH HIỆU CHUẨN BỒN QUỐC TẾ,April
0316397841-001,CHI NHÁNH CÔNG TY TNHH 2 LIKE STYLE,April
0317241646-002,CHI NHÁNH CÔNG TY TNHH NHỰA HƯNG PHONG,April
0317251309-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THIẾT KẾ TRANG TRÍ NỘI THẤT KHÔNG GIAN ĐẸP,April
0311767538-013,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ BẠCH LONG,April
0313673613-002,CHI NHÁNH 02 CÔNG TY TNHH OVERTIME,April
0314025252-003,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DỊCH VỤ VỆ SĨ BẢO VỆ G.O.S,April
0314346055-001,CÔNG TY TNHH TRANG TRÍ NỘI NGOẠI THẤT KIM VINH - CHI NHÁNH 1,April
0314626662-002,CHI NHÁNH 2 - CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM AN LẠC,April
0315423778-008,CHI NHÁNH CÔNG TY TNHH PHÒNG KHÁM HAPPY BABY,April
0316699514-001,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM QUỐC TẾ BÁNH MÌ HUYNH HOA,April
0316761804-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TRUYỀN THÔNG MAX D,April
0316778371-002,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT NƯỚC TINH KHIẾT HỒNG NGỌC,April
0316470040-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH BẤT ĐỘNG SẢN KIM CƯƠNG,April
0317260455-001,CHI NHÁNH MASSAGE ĐẠI PHÁT - CÔNG TY TNHH MTV DỊCH VỤ THƯƠNG MẠI ĐỖ HOÀNG YẾN,April
0106215252-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ROHDE & SCHWARZ VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,April
0310452648-001,CHI NHÁNH SỐ 1 CÔNG TY CỔ PHẦN PHÁT TRIỂN AN PHÚ,April
0315503328-001,CHI NHÁNH CÔNG TY CỔ PHẦN TECHNET,April
0316582322-007,CHI NHÁNH GEN Z - TRUNG TÂM TRUYỀN THÔNG & SÁNG TẠO TRẺ - CÔNG TY TNHH MỘT THÀNH VIÊN QUỸ TỪ THIỆN & BẢO TRỢ XÃ HỘI TRĂNG KHUYẾT,April
0316771217-001,CHI NHÁNH CÔNG TY TNHH THIẾT BỊ CÔNG NGHIỆP TẤN HƯNG,April
0316915388-001,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ FRESHBAG,April
0317280885,LIÊN DANH SAMBO-KUNHWA-JINWOO,April
8724316764,NGUYỄN NGỌC BÍCH NGÂN,April
8748776802,PHÙNG THỊ HẠNH,April
0317282850,BAN QUẢN TRỊ TÒA NHÀ CHUNG CƯ GIA HÒA (THE ART),April
0401783213-001,CHI NHÁNH CÔNG TY TNHH VINABUGANG,April
8751496668,PHẠM TRƯỜNG SƠN,April
0316231243-003,CHI NHÁNH CÔNG TY TNHH BỆNH VIỆN THẨM MỸ JANGIN,April
0107559577-001,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KINH DOANH BẤT ĐỘNG SẢN V- LAND VIỆT NAM TẠI TP. HỒ CHÍ MINH,April
