company_code,company_name,month_create
8745648150-001,PHẠM HOÀNG LONG,June
0315640211-002,CHI NHÁNH CÔNG TY TNHH NHÂN LỰC KHỞI NGHIỆP,June
0108747975-001,CHI NHÁNH CÔNG TY ĐẤU GIÁ HỢP DANH TOÀN QUỐC,June
8329495544-001,TRẦN THỊ THU HIỀN,June
0106318515-002,VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BAO BÌ CAO CẤP VIỆT NAM,June
0315573540-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TM DV SX NỘI THẤT NGÔI NHÀ XANH,June
8440668970,LÊ CHÍ THÀNH,June
1300971766-001,CÔNG TY TNHH NÔNG SẢN CỬU LONG - CHI NHÁNH 9 RIVER SAIGON,June
8762091913,NGUYỄN NGỌC SƠN,June
0316077601-001,CHI NHÁNH CÔNG TY TNHH GO HYANG JIP,June
0317402124,VĂN PHÒNG ĐẠI DIỆN CÔNG TY BDR PHARMACEUTICALS INTERNATIONAL PRIVATE LIMITED TẠI THÀNH PHỐ HỒ CHÍ MI,June
0109403293-002,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY ĐẤU GIÁ HỢP DANH HÙNG DŨNG,June
8407140929,NGUYỄN KIM NGÂN,June
0317393208,VĂN PHÒNG LUẬT SƯ THÀNH LỄ,June
1201360999-001,HỒ THANH KHÊ,June
0317395879,CÔNG TY LUẬT TNHH MTV QUYÊN ĐẶNG,June
0317397964,CÔNG TY LUẬT TNHH MTV HÃNG LUẬT NHÂN TÍN NGHĨA,June
1801143308-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU NGỌC QUANG PHÁT,June
0108964786-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CHANGWOO ELECTRONICS VINA,June
0304727485-003,CHI NHÁNH 1 CÔNG TY TNHH XUẤT NHẬP KHẨU KHANG THỊNH,June
0301494112-006,CHI NHÁNH HỢP TÁC XÃ THƯƠNG MẠI DỊCH VỤ NGUYỄN CƯ TRINH-CÀ PHÊ LEO,June
0312301838-042,CHI NHÁNH PHẠM HÙNG CÔNG TY TNHH BOBAPOP,June
8764628103,HỘ KINH DOANH ÔNG TRẺ (NGUYỄN ĐỨC ĐẠI DƯƠNG),June
4201340807-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐẦU TƯ PHÚC HẬU,June
