company_code,company_name,month_create
0317391151,CÔNG TY TNHH CÔNG NGHỆ GROWTH (NTNN),May
4001249163-001,CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN TRUNG TIẾN - CHI NHÁNH SÀI GÒN,May
0309977753-002,VĂN PHÒNG GIAO DỊCH - VĂN PHÒNG LUẬT SƯ TAM ĐA,May
0317398005,"VĂN PHÒNG ĐẠI DIỆN SK ECOPLANT CO.,LTD TẠI THÀNH PHỐ HỒ CHÍ MINH",May
8091392469-001,VY THỊ NGỌC ÁNH,May
0317383337,CÔNG TY TNHH SÁNG TẠO BỘT,May
0108358827-005,CHI NHÁNH ĐẦU TƯ CÔNG NGHỆ DSMART VIỆT NAM THÀNH PHỐ HỒ CHÍ MINH- CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ DSMART VIỆT NAM,May
8756700980,LÊ KHÁNH HOÀNG,May
8757391340,VĂN HUỆ KIỀU,May
0317381795,VĂN PHO�NG ĐAÊI DIÊÊN MORIMA AG TAÊI THA�NH PHÔ� HÔ� CHI� MINH,May
0109741172-001,CHI NHÁNH HỒ CHÍ MINH- CÔNG TY TNHH WIR GROUP,May
3703035805-001,CHI NHÁNH CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HITRUST TẠI THÀNH PHỐ HỒ CHÍ MINH,May
8436495235,ĐINH VĂN THỊNH,May
0106168637-001,CÔNG TY CỔ PHẦN ĐẦU TƯ SKYLINE VIỆT NAM – CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,May
0317357231,CÔNG TY CỔ PHẦN QUẢN LÝ VÀ DỊCH VỤ KCN (NTNN),May
0317363059,VĂN PHÒNG LUẬT SƯ DIỆP BẢO NGHĨA,May
8763482395-001,H� KINH DOANH C�A H�NG NG�C Y�N,May
8271844153-001,LÊ THÀNH PHƯƠNG,May
8724819888,NGUYỄN HỒNG SƠN,May
8424946123,LÂM TÚ PHƯỢNG,May
0317336129,CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN NHUNG VÀ CỘNG SỰ,May
0315105479-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH NINJA TEACHER VIETNAM,May
0317330504,VĂN PHÒNG LUẬT SƯ TRẦN THỊ THÙY TRANG,May
0317330448,CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN LAWREL,May
0317329410,TRƯỜNG TIỂU HỌC VIỆT ÂU,May
0301339519-007,CHI NHÁNH CÔNG TY TNHH XÂY DỰNG - SẢN XUẤT VÀ THƯƠNG MẠI NHÂN HÒA,May
0306114318-005,CHI NHÁNH CÔNG TY TNHH PHẠM GIA NGUYỄN,May
0312287171-002,CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG VÀ THIẾT BỊ CÔNG NGHIỆP ENVIROTEK,May
0312301838-036,CHI NHÁNH NGÔ GIA TỰ CÔNG TY TNHH BOBAPOP,May
0312788393-002,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU NHẬT PHÁT,May
0313755873-001,CHI NHÁNH CÔNG TY TNHH QUẢNG CÁO THƯƠNG MẠI DỊCH VỤ QUỐC THANH,May
0313849105-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ PONTECH,May
0314005009-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TRÁCH NHIỆM HỮU HẠN THÉP POVINA,May
0314567343-048,CHI NHÁNH NGUYỄN SƠN - CÔNG TY CỔ PHẦN NGƯỜI BẠN VÀNG,May
0315333080-001,VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH THIẾT KẾ XÂY DỰNG SVC,May
0316160095-004,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN MỸ MỸ - CHI NHÁNH 4,May
0316358539-002,CÔNG TY TNHH PHỔ GIÁC CHI NHÁNH PG MEDIC CENTER,May
0316370159-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT TRƯỜNG THỊNH - VPĐD TRƯỜNG THỊNH DRONE NÔNG NGHIỆP,May
0316664776-001,CHI NHÁNH 1 CÔNG TY TNHH GIẤY KIM HƯNG,May
0316959667-002,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI H2 - CHI NHÁNH LANDMARK,May
0101330614-003,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH KIỂM TOÁN ACOM,May
0108088592-003,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ MÔI TRƯỜNG CEC – CHI NHÁNH HỒ CHÍ MINH,May
0109842438-001,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU TẬP ĐOÀN THỜI TRANG HƯNG LÂM PHÁT,May
0303873275-005,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI CẦU ĐƯỜNG VĨNH HƯNG,May
0315094259-010,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TƯ VẤN VÀ ĐỊNH GIÁ CHÂU THÀNH,May
0315388548-003,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ICON AND DENIM,May
0316393653-004,CHI NHÁNH CÔNG TY TNHH HADES - KHO HÀNG,May
0316553843-001,CHI NHÁNH - CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ NỘI THẤT THÀNH PHÁT,May
0316686307-001,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU SAN LẤP VẬN TẢI PHÚC THÀNH,May
0316862496-001,CHI NHÁNH 01 - CÔNG TY TNHH SWEET JUNE,May
0317274867-001,CÔNG TY TNHH PHUC KHANG NGUYEN - CHI NHÁNH 1,May
0317277064-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DỊCH VỤ DU LỊCH VÀ LỮ HÀNH VIỆT NAM VACATION,May
1602065380-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU MỘC HÀ,May
3703060079-001,CHI NHÁNH CÔNG TY TNHH TM-DV-SX TÂM HUẤN,May
